Accounting-Control-Number-Numéro-contrôle-comptable,Journal-Voucher-Type-Code-Code-du-type-de-pièce-de-journal,Fiscal-Year-Année-Fiscale,Journal-Voucher-Identifier-Identificateur-de-la-pièce-de-journal,Accounting-Effective-Date-Date-d'entrée-en-vigueur-comptable,DepartmentNumber-Numéro-de-Ministère,Fiscal-Month-Mois-Fiscal,Journal-Voucher-Item-Identifier-Identificateur-de-l'item-de-la-pièce-de-journal,Financial-Coding-Block-Bloc-de-codage-financier,Subleger-Account-Identifier-Compte-du-grand-livre-auxiliaire,Credit/Debit-Code-Code-Crédit/Débit,Journal-Voucher-Item-Amount-Montant-de-l'item-de-la-pièce-de-journal,Control-Data-Type-Type-de-données-de-contrôle,Accounting-Summary-Transaction-Line-Count-Sommaire-comptable-transaction-compte-ligne,GBS-Control-Number-Numéro-de-contrôle-du-SBG,General-Ledger-Account-Code-Code-du-compte-du-grand-livre-général
202309300033,JVEFI,2023/2024,,2023-04-03,037,01,1,,0370000,CR,3757.14,CMC,1,202309300124104,
202309300034,JVEFI,2023/2024,,2023-04-03,047,01,1,,0470470,CR,502.14,CMC,1,202309300124105,
202309300035,JVEFI,2023/2024,,2023-04-03,163,01,1,,1634019,CR,21072.03,CMC,1,202309300124138,
202309300036,JVEFI,2023/2024,,2023-04-03,001,01,1,,0013020,CR,14493.43,CMC,4,202309300124067,
202309300037,JVEFI,2023/2024,,2023-04-03,005,01,1,,0050050,CR,2424.60,CMC,2,202309300124068,
202309300038,JVEFI,2023/2024,,2023-04-03,005,01,1,,0050054,CR,3613.52,CMC,3,202309300124069,
202309300039,JVEFI,2023/2024,,2023-04-03,018,01,1,,0180107,CR,1752.76,CMC,1,202309300124091,
202309300040,JVEFI,2023/2024,,2023-04-03,018,01,1,,0181677,CR,15397.70,CMC,2,202309300124094,
202309300041,JVEFI,2023/2024,,2023-04-03,018,01,1,,0182182,DR,1265.63,CMC,2,202309300124095,
202309300042,JVEFI,2023/2024,,2023-04-03,018,01,1,,0183330,DR,26875.50,CMC,1,202309300124098,
202309300043,JVEFI,2023/2024,,2023-04-03,018,01,1,,0186369,CR,4008.28,CMC,1,202309300124099,
202309300044,JVEFI,2023/2024,,2023-04-03,018,01,1,,0188160,CR,697.52,CMC,1,202309300124100,
